"block_number","min"
11754825,6.3e+10
11754826,9e+09
11754827,6.9e+10
11754828,6.9e+10
11754829,7e+10
11754830,85100460344
11754831,6.9e+10
11754832,6.9e+10
11754833,6.9e+10
11754834,6.1e+10
11754835,5.9e+10
11754837,76000001459
11754838,7.59e+10
11754839,9e+09
11754840,7.9e+10
11754841,1e+09
11754842,9e+09
11754843,8.3e+10
11754844,7.6e+10
11754845,7.107e+10
11754846,71000001347
11754847,6.9e+10
11754849,6.9e+10
11754850,9.7e+10
11754851,9.375e+10
11754852,1e+09
11754853,9.4e+10
11754854,8.7e+10
11754855,8.14e+10
11754856,1e+09
11754857,7.5e+10
11754858,7.2e+10
11754859,9e+09
11754860,8e+10
11754861,1e+09
11754862,8.5e+10
11754864,82529260000
11754865,8e+10
11754866,3e+09
11754867,8.3e+10
11754868,9e+09
11754869,8.24e+10
11754870,76000001459
11754871,6.95e+10
11754872,6.6e+10
11754874,73000001561
11754875,6.5e+10
11754876,3e+09
11754877,9.2e+10
11754878,9e+10
11754879,8.7e+10
11754880,8.3e+10
11754882,9e+09
11754883,8.107e+10
11754884,66000001459
11754885,6.5e+10
11754886,6.105e+10
11754887,9e+09
11754888,8.8e+10
11754889,1e+09
11754890,8.91e+10
11754891,8.97e+10
11754892,9.6e+10
11754893,9e+09
11754895,9.13e+10
11754896,1.03e+11
11754897,9.6e+10
11754898,86000001459
11754899,8.8e+10
11754900,100130006251
11754901,1e+09
11754902,91500000780
11754903,1.06e+11
11754904,9.9e+10
11754905,9.8e+10
11754906,9.4e+10
11754907,1.03e+11
11754908,9.85e+10
11754909,97000001459
11754910,9.7e+10
11754911,9.6e+10
11754912,1e+09
11754914,9.1e+10
11754915,103000001561
11754916,97000001500
11754917,9.8e+10
11754918,9.7e+10
11754919,1e+09
11754920,8.9355e+10
11754921,88000001347
11754922,8.7e+10
11754923,8.6e+10
11754924,1e+09
11754925,1e+09
11754926,9e+09
11754927,8.7e+10
11754928,1.067e+11
11754929,97000001459
11754930,9.7e+10
11754931,1.08e+11
11754932,9.8e+10
11754933,1.09e+11
11754934,9e+09
11754935,9.8e+10
11754936,9.7e+10
11754937,9.6e+10
11754938,3.01e+10
11754939,1e+09
11754940,1e+09
11754941,9e+09
11754942,9.3e+10
11754943,8.3e+10
11754944,8.3e+10
11754945,8.25e+10
11754946,9.9e+10
11754947,9.7e+10
11754948,9.7e+10
11754949,9e+09
11754950,1e+09
11754951,9.8e+10
11754953,104760001575
11754954,97000001459
11754955,9.7e+10
11754956,9.6e+10
11754957,80000001459
11754958,8.3e+10
11754959,1.067e+11
11754960,9.7e+10
11754961,77750000116
11754962,73000000111
11754963,7e+10
11754964,66000000233
11754965,1e+09
11754966,60000001123
11754967,6e+10
11754968,6e+10
11754969,1.067e+11
11754970,9e+10
11754971,6e+10
11754972,6e+10
11754973,61000001459
11754974,6e+10
11754975,7.8e+10
11754976,62000001561
11754977,1e+09
11754978,6e+10
11754979,5.7e+10
11754980,8e+10
11754981,7.1e+10
11754982,1e+09
11754983,9.7e+10
11754984,7.1e+10
11754985,7.26e+10
11754986,1e+09
11754987,7.26e+10
11754988,6.7e+10
11754989,1e+09
11754990,61000001459
11754991,6.1e+10
11754992,7.2e+10
11754993,7.1e+10
11754994,1e+09
11754995,6.3e+10
11754996,7.2e+10
11754997,58000001459
11754998,5.61e+10
11754999,7.7e+10
11755000,1.01e+11
11755001,7.6e+10
